period,entity,bonds,mortgages,alts,cash,real_estate,total_invested,annuity_ytd,life_prem_ytd
2018Q3,BLC,15596611833.0,1077543434.0,491115729.0,138911929.0,0.0,17304182925.0,0.0,0.0
2019Q2,BLC,13240278150.0,1050787817.0,654861135.0,57196746.0,0.0,15003123848.0,0.0,0.0
2021Q1,BLC,14072414472,919335169,0.0,0.0,0.0,14991749641.0,0.0,0.0
2021Q2,BLC,14585390344.0,973595548.0,803329703.0,107992075.0,0.0,16470307670.0,0.0,0.0
2021Q3,BLC,15031317189.0,973595548.0,806611845.0,109039760.0,0.0,16920564342.0,0.0,0.0
2022Q1,BLC,16800296694.0,893631124.0,791373766.0,85341344.0,0.0,18570642928.0,0.0,0.0
2022Q4,BLC,17312515819.0,983503266.0,755590344.0,157988752.0,0.0,19209598181.0,1584345322.0,489813338.0
2023Q3,BLC,18051670497.0,1177105645.0,734648806.0,11974233.0,0.0,19975399181.0,1123303072.0,369809397.0
2024Q3,BLC,18978749033.0,1308315280.0,686022908.0,393344280.0,0.0,21366431501.0,1272622213.0,370678850.0
2024Q4,BLC,19330280248.0,1310311599.0,691731275.0,222878197.0,0.0,21555201319.0,1755694826.0,493474261.0
2021Q4,CPL,717629352.0,520070.0,19074983.0,10916579.0,5350341.0,753491325.0,0.0,0.0
2022Q4,CPL,718718617.0,478100.0,18625706.0,26421706.0,4958670.0,769202799.0,462973679.0,340884975.0
2023Q1,CPL,728860612.0,467207.0,18533210.0,28272386.0,4866385.0,780999800.0,108949916.0,90586456.0
2023Q3,CPL,739996397.0,444925.0,18523152.0,13958658.0,4682004.0,777605136.0,312243056.0,271262166.0
2023Q4,CPL,737269292.0,433530.0,18517534.0,37983521.0,4590287.0,798794164.0,415952881.0,361390901.0
2024Q1,CPL,755114772.0,421963.0,19655709.0,31316268.0,4590287.0,811098999.0,102068367.0,93678274.0
2025Q1,CPL,798835178.0,373914.0,21459093.0,5350739.0,0.0,826018924.0,92748250.0,96347296.0
